tag,Temp_amb,Transparencia,Temp_agua,Oxidacion,Conductividad,pH,Sulfuros,pH_CEA,OD,Hierro,DQO,DBO,Colif_Fecales,Colif_Totales,SST,Alc_Total,Cl-Total,Conductividad,Dureza,Fl,P_Total,Nitratos,Nitritos,N_total,SDT,SS,Solidos_Totales,Sulfatos,Al,As,Ba,Cu,Mn,Pb,Na,Zn,Turbiedad,Año,Mes,Est
01-abr-16,25,0.13,22.4,9.84,0.754,7.76,1.64,9.18,9.56,0.11,299.85,18.57,46000,46000,78,375.29,64.45,876,150.74,1.49,1.56,0.11,0.022,8.66,570,0.1,648,12.4,0.1309,0.0025,0.005,0.05,0.088,0.0025,111.1,0.02,95,16,4,1
02-abr-16,21,0.13,21.35,4,0.746,7.29,2.02,9.39,14.02,0.101,300.43,15.99,90,2400,62,376.31,64.4,861,154.36,0.95,1.45,0.1,0.022,8.76,704,0.1,766,9.77,0.0869,0.0025,0.005,0.05,0.065,0.0025,111.7,0.02,90,16,4,2
03-abr-16,23,0.13,21,6.9,0.756,7.24,1.7,9.41,15.83,0.05,314.63,16.56,430,2400,52,377.96,64.98,862,152.01,0.95,1.35,0.1,0.022,7.7,603,0.1,655,10.46,0.01,0.0025,0.005,0.05,0.06,0.0025,110.8,0.02,85,16,4,3
04-abr-16,23,0.13,21.56,8.25,0.755,7.77,1.86,9.3,11.51,0.05,294.93,15.33,90,4600,68,375.7,64.06,862,154.91,0.96,1.28,0.1,0.022,8.37,592,0.1,660,11.65,0.01,0.0025,0.005,0.05,0.073,0.0025,111.6,0.02,85,16,4,4
05-abr-16,24,0.13,20.62,3.79,0.759,7.74,1.9,9.45,16.22,0.158,288.55,18.72,11000,11000,73,377.34,64.45,860,156.9,1.64,1.2,0.16,0.022,8.35,601,0.1,674,10.39,0.1386,0.0025,0.005,0.05,0.06,0.0025,111.5,0.02,110,16,4,5
01-may-16,27,0.12,24.47,5.63,0.8,7.63,3.74,9.06,5.56,0.183,317.82,16.17,110000,110000,78,375.42,67.4,850,168.85,0.88,1.78,0.1,0.022,10.31,616,0.1,694,12.15,0.2332,0.0036,0.168,0.05,0.076,0.0025,115,0.02,120.67,16,5,1
02-may-16,24,0.12,22,2.92,0.801,7.54,2.86,9.41,8.78,0.147,329.12,17.55,90,430,72,376.66,70.36,929,171.52,0.88,1.48,0.1,0.022,9.59,640,0.1,712,12.6,0.1419,0.0044,0.0124,0.05,0.05,0.0025,115.2,0.15,123.47,16,5,2
03-may-16,24,0.12,20.9,4.05,0.799,7.98,3.36,9.28,7.74,0.103,322.74,14.01,2400,2400,74,369.34,67.97,910,170,0.93,1.42,0.1,0.022,15.4,647,0.1,721,15.02,0.044,0.0042,0.0106,0.05,0.055,0.0025,115,0.02,120.93,16,5,3
04-may-16,24,0.12,25.46,6.7,0.799,7.58,3.46,9.33,8.73,0.107,324.19,16.14,230,4600,46,366.31,67.83,932,171.71,1.39,1.5,0.1,0.022,9.83,688,0.1,734,11.26,0.0682,0.0038,0.0117,0.05,0.055,0.0025,114.6,0.02,116.12,16,5,4
05-may-16,26,0.1,24.44,3.26,0.802,7.66,3.38,9.28,3.31,0.107,327.67,18.24,90,430,80,362.33,70.03,931,168.47,0.92,1.44,0.1,0.022,9.53,626,0.1,706,11.84,0.1298,0.0035,0.0123,0.05,0.05,0.0025,113.9,0.02,119.87,16,5,5
