"fecha","año","mes","est","parámetro","valor"
2020-04-07,"2020","4","RZ-02","Níquel",0.1
2020-04-07,"2020","4","RZ-02","Plomo",0.0086
2020-04-07,"2020","4","RZ-02","Sodio",115.5
2020-04-07,"2020","4","RZ-02","Zinc",0.025
2020-04-07,"2020","4","RZ-02","Coliformes totales",46000
2020-04-07,"2020","4","RZ-02","Coliformes fecales",46000
2020-04-07,"2020","4","RZ-02","Temp. ambiente",33
2020-04-07,"2020","4","RZ-02","Acidez total",23.31
2020-04-07,"2020","4","RZ-02","Dureza de calcio",136.13
2020-04-07,"2020","4","RZ-02","Sólidos totales",778
2020-04-07,"2020","4","RZ-02","Nitrógeno total",8.68
2020-04-07,"2020","4","RL-02","Temperatura",25
2020-04-07,"2020","4","RL-02","pH",7.4
2020-04-07,"2020","4","RL-02","Oxígeno disuelto",0.81
2020-04-07,"2020","4","RL-02","Conductividad",1089
2020-04-07,"2020","4","RL-02","Turbiedad",17
2020-04-07,"2020","4","RL-02","Alcalinidad total",427.92
2020-04-07,"2020","4","RL-02","Cloruros totales",70.72
2020-04-07,"2020","4","RL-02","Dureza total",199.09
2020-04-07,"2020","4","RL-02","Fluoruros",1
2020-04-07,"2020","4","RL-02","Nitrógeno de nitratos",0.11
2020-04-07,"2020","4","RL-02","Nitrógeno de nitritos",0.01
2020-04-07,"2020","4","RL-02","Nitrógeno amoniacal",6.93
2020-04-07,"2020","4","RL-02","Nitrógeno total Kjeldahl",8.85
2020-04-07,"2020","4","RL-02","Sulfatos",97.05
2020-04-07,"2020","4","RL-02","SAAM",2.42
2020-04-07,"2020","4","RL-02","DBO",15.36
2020-04-07,"2020","4","RL-02","DQO",61.5
2020-04-07,"2020","4","RL-02","Grasas y aceites",7.01
2020-04-07,"2020","4","RL-02","Fósforo total",1.82
2020-04-07,"2020","4","RL-02","SST",15
2020-04-07,"2020","4","RL-02","Sólidos disueltos tot.",678
2020-04-07,"2020","4","RL-02","Sólidos sedimentables",0.1
2020-04-07,"2020","4","RL-02","Sulfuros",6.05
2020-04-07,"2020","4","RL-02","Aluminio",1.515
2020-04-07,"2020","4","RL-02","Arsénico",0.0074
2020-04-07,"2020","4","RL-02","Bario",0.247
2020-04-07,"2020","4","RL-02","Cadmio",0.00053
2020-04-07,"2020","4","RL-02","Cobre",0.05
2020-04-07,"2020","4","RL-02","Cromo",0.05
2020-04-07,"2020","4","RL-02","Fierro",0.427
2020-04-07,"2020","4","RL-02","Manganeso",0.128
2020-04-07,"2020","4","RL-02","Mercurio",0.0005
2020-04-07,"2020","4","RL-02","Níquel",0.1
2020-04-07,"2020","4","RL-02","Plomo",0.0083
2020-04-07,"2020","4","RL-02","Sodio",128.5
2020-04-07,"2020","4","RL-02","Zinc",0.025
2020-04-07,"2020","4","RL-02","Coliformes totales",1500000
2020-04-07,"2020","4","RL-02","Coliformes fecales",930000
2020-04-07,"2020","4","RL-02","Temp. ambiente",31
2020-04-07,"2020","4","RL-02","Acidez total",37.04
2020-04-07,"2020","4","RL-02","Dureza de calcio",135.54
2020-04-07,"2020","4","RL-02","Sólidos totales",693
2020-04-07,"2020","4","RL-02","Nitrógeno total",8.96
2020-04-07,"2020","4","RL-01","Temperatura",23
2020-04-07,"2020","4","RL-01","pH",7.7
2020-04-07,"2020","4","RL-01","Oxígeno disuelto",2.07
2020-04-07,"2020","4","RL-01","Conductividad",963
2020-04-07,"2020","4","RL-01","Turbiedad",11
2020-04-07,"2020","4","RL-01","Alcalinidad total",352.41
2020-04-07,"2020","4","RL-01","Cloruros totales",58.32
2020-04-07,"2020","4","RL-01","Dureza total",231.97
2020-04-07,"2020","4","RL-01","Fluoruros",1.15
2020-04-07,"2020","4","RL-01","Nitrógeno de nitratos",0.34
2020-04-07,"2020","4","RL-01","Nitrógeno de nitritos",0.01
