"idPuntoMuestreo","idParametro","unidad","valor","fecha","est_fijas"
"18","Sulfuros","mg/l",0.1,2009-09-02,FALSE
"18","Aluminio","mg/l",0.01,2009-09-02,FALSE
"18","Arsénico","mg/l",0.0025,2009-09-02,FALSE
"18","Bario","mg/l",0.005,2009-09-02,FALSE
"18","Cadmio","mg/l",5e-04,2009-09-02,FALSE
"18","Cobre","mg/l",0.05,2009-09-02,FALSE
"18","Cromo","mg/l",0.05,2009-09-02,FALSE
"18","Fierro","mg/l",0.161,2009-09-02,FALSE
"18","Manganeso","mg/l",,2009-09-02,FALSE
"18","Mercurio","mg/l",5e-04,2009-09-02,FALSE
"18","Níquel","mg/l",0.1,2009-09-02,FALSE
"18","Plomo","mg/l",0.0025,2009-09-02,FALSE
"18","Sodio","mg/l",,2009-09-02,FALSE
"18","Zinc","mg/l",560,2009-09-02,FALSE
"18","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,FALSE
"18","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,FALSE
"18","Profundidad","m",2.45,2009-09-02,FALSE
"18","Temp. ambiente","°C",,2009-09-02,FALSE
"18","Transparencia Secchi","m",,2009-09-02,FALSE
"18","Sólidos totales",,484,2009-09-02,FALSE
"18","Nitrógeno total",,11.28,2009-09-02,FALSE
"18","Clorofilas","mg/l",,2009-09-02,FALSE
"LC-01","Temperatura","°C",25,2009-09-02,TRUE
"LC-01","pH",,8.21,2009-09-02,TRUE
"LC-01","Oxígeno disuelto","mg/l",8.68,2009-09-02,TRUE
"LC-01","Conductividad","µS/cm",561,2009-09-02,TRUE
"LC-01","Turbiedad","UNT",19,2009-09-02,TRUE
"LC-01","Alcalinidad total","mg CaCOmg/l/l",320.75,2009-09-02,TRUE
"LC-01","Cloruros totales","mg/l",57.6,2009-09-02,TRUE
"LC-01","Dureza total","mg CaCOmg/l/l",104.09,2009-09-02,TRUE
"LC-01","Fluoruros","mg/l",0.74,2009-09-02,TRUE
"LC-01","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,TRUE
"LC-01","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,TRUE
"LC-01","Nitrógeno amoniacal","mg/l",1.78,2009-09-02,TRUE
"LC-01","Nitrógeno total Kjeldahl","mg/l",8.31,2009-09-02,TRUE
"LC-01","Sulfatos","mg/l",8.48,2009-09-02,TRUE
"LC-01","SAAM","mg/l",670,2009-09-02,TRUE
"LC-01","DBO Turbiedad","mg/l",20.52,2009-09-02,TRUE
"LC-01","DQO","mg/l",96.37,2009-09-02,TRUE
"LC-01","Grasas y aceites","mg/l",9.48,2009-09-02,TRUE
"LC-01","Fósforo total","mg/l",0.604,2009-09-02,TRUE
"LC-01","SST","mg/l",13,2009-09-02,TRUE
"LC-01","Sólidos disueltos tot.","mg/l",467,2009-09-02,TRUE
"LC-01","Sólidos sedimentables","ml/l",0.1,2009-09-02,TRUE
"LC-01","Sulfuros","mg/l",0.1,2009-09-02,TRUE
"LC-01","Aluminio","mg/l",0.747,2009-09-02,TRUE
"LC-01","Arsénico","mg/l",0.0025,2009-09-02,TRUE
"LC-01","Bario","mg/l",0.005,2009-09-02,TRUE
"LC-01","Cadmio","mg/l",5e-04,2009-09-02,TRUE
"LC-01","Cobre","mg/l",0.05,2009-09-02,TRUE
"LC-01","Cromo","mg/l",0.05,2009-09-02,TRUE
"LC-01","Fierro","mg/l",0.723,2009-09-02,TRUE
"LC-01","Manganeso","mg/l",,2009-09-02,TRUE
"LC-01","Mercurio","mg/l",50000,2009-09-02,TRUE
"LC-01","Níquel","mg/l",0.1,2009-09-02,TRUE
"LC-01","Plomo","mg/l",0.0025,2009-09-02,TRUE
"LC-01","Sodio","mg/l",,2009-09-02,TRUE
"LC-01","Zinc","mg/l",580,2009-09-02,TRUE
"LC-01","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-01","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-01","Profundidad","m",2.05,2009-09-02,TRUE
"LC-01","Temp. ambiente","°C",,2009-09-02,TRUE
"LC-01","Transparencia Secchi","m",,2009-09-02,TRUE
"LC-01","Sólidos totales",,480,2009-09-02,TRUE
"LC-01","Nitrógeno total",,8.31,2009-09-02,TRUE
"LC-01","Clorofilas","mg/l",,2009-09-02,TRUE
"LC-03","Temperatura","°C",24.9,2009-09-02,TRUE
"LC-03","pH",,8.54,2009-09-02,TRUE
"LC-03","Oxígeno disuelto","mg/l",8.68,2009-09-02,TRUE
"LC-03","Conductividad","µS/cm",635,2009-09-02,TRUE
"LC-03","Turbiedad","UNT",22.4,2009-09-02,TRUE
"LC-03","Alcalinidad total","mg CaCOmg/l/l",366.6,2009-09-02,TRUE
"LC-03","Cloruros totales","mg/l",54.06,2009-09-02,TRUE
"LC-03","Dureza total","mg CaCOmg/l/l",117.84,2009-09-02,TRUE
"LC-03","Fluoruros","mg/l",0.8,2009-09-02,TRUE
"LC-03","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,TRUE
"LC-03","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,TRUE
"LC-03","Nitrógeno amoniacal","mg/l",0.59,2009-09-02,TRUE
