"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
23,7.7,2.82,0.1,0.021,16.1,8.42,68.6,6.22,3.47,10,612,0.1,0.01,0.0091,0.005,0.0005,0.05,0.05,0.135,0.183,0.0005,0.1,0.0025,84.4,0.02,3,3,622,16.121,969,5.5,469,51.5,143,1.05,15.46,63.1,0.4,0.47,25,99,,2009-04-20,"2009","4","RS-09"
23,7.77,2.41,7.54,0.563,8.37,21.7,58.8,5.7,2.28,6,618,0.1,0.01,0.0099,0.005,0.0005,0.05,0.05,0.041,0.128,0.0005,0.1,0.0025,81.7,0.02,2300,400,624,16.473,880,3,375.2,51.5,140,1.16,5.15,55.42,0.21,0.1,20,59.4,,2009-04-20,"2009","4","RS-10"
20,7.5,,0.54,0.028,66.9,225,443,30.67,10.83,83,936,0.1,0.413,0.0077,0.005,0.0005,0.05,0.05,0.33,0.216,0.0005,0.1,0.0025,141.6,0.109,24000000,24000000,1019,67.468,1575,340,633.2,8.5,136.2,0.81,54.1,135.07,8.8,12.4,21,69.3,,2009-04-20,"2009","4","AA-01"
23,7.8,,0.4,0.022,52.16,157.7,327,18.21,10.77,69,958,0.1,1.317,0.0078,0.005,0.0005,0.05,0.05,0.842,0.286,0.0005,0.1,0.0025,136.6,0.072,24000000,24000000,1027,52.56,1480,310,680.1,9.2,149.9,1.06,34.1,108.5,4.78,1.92,28,59.4,,2009-04-20,"2009","4","AA-02"
27,8.35,7.66,0.1,0.0174,3.86,15.81,49,7.11,0.45,44,566,0.1,2.67,0.0122,0.005,0.0005,0.05,0.05,2.198,0.08,0.0005,0.1,0.0025,71.1,0.066,4300,2300,610,3.8774,784,45,422.1,37.7,168,1.1,2.57,48.98,0.85,0.1,,9.9,,2009-04-20,"2009","4","RZ-01"
25,8.5,2.63,0.1,0.022,6.91,15.6,79.69,9.57,0.87,36,589,0.1,0.01,0.0087,0.005,0.0005,0.05,0.05,0.31,0.177,0.0005,0.1,0.0025,,0.02,150000,70000,625,6.91,980,12,458.2,52.13,225.7,0.97,4.25,93.6,0.47,0.79,,,,2009-05-25,"2009","5","RS-01"
23,8.5,0.81,0.1,0.022,5.85,2.98,78.91,7.74,2,11,727,0.1,0.01,0.0117,0.005,0.0005,0.05,0.05,0.225,0.173,0.0007,0.1,0.0025,,0.054,15000,4000,738,5.85,1206,3.2,458.2,64.02,269.3,1.05,3.72,146.47,0.33,1.82,31,,,2009-05-25,"2009","5","RS-02"
23,8.5,,0.1,0.022,10.64,5.01,70.66,10.64,2.24,10,688,0.1,0.385,0.0097,0.005,0.0005,0.05,0.05,0.231,0.233,0.0005,0.1,0.0025,82.2,0.064,4000,4000,698,10.64,1094,6.8,412,67.7,249.5,1.04,3.19,106,0.53,1.4,28,,,2009-05-25,"2009","5","RS-03"
23,8.42,,0.1,0.022,14.36,20.04,96.97,7.44,2.55,14,804,1,0.339,0.0097,0.005,0.0005,0.05,0.05,0.109,0.244,0.0011,0.1,0.0025,97.2,0.059,430000,150000,818,14.36,1303,12.1,641,85.97,261.4,1.07,12.24,120.5,2.33,3.26,32,,,2009-05-25,"2009","5","RS-04"
29,8.45,4.66,0.1,0.042,9.57,11.16,72.63,6.55,3.62,19,716,0.1,0.33,0.009,0.005,0.0005,0.05,0.05,0.145,0.196,0.0014,0.1,0.0025,90,0.062,93000,21000,735,9.612,1192,5.7,504,68.59,245.5,1.14,6.91,147.6,0.5,0.1,30,,,2009-05-25,"2009","5","RS-05"
28,8.48,3.24,3,1.7,5.85,16.86,84,5.39,2.16,8,764,0.1,0.01,0.0059,0.005,0.0005,0.05,0.05,0.114,0.171,0.0005,0.1,0.0025,116.6,0.02,240000,240000,772,10.55,1233,4.5,458.2,82.31,253.4,1.16,3.19,145.4,0.47,14.6,30,,,2009-05-25,"2009","5","RS-06"
30,8.28,,0.1,0.018,39.9,205.8,401.22,32.72,5.27,14,963,0.1,1.778,0.0098,0.005,0.0085,0.05,0.05,1.061,0.158,0.0006,0.1,0.0025,143.4,0.129,24000000,24000000,977,39.918,1536,80.9,549.9,112.33,174.2,0.58,30.86,155.5,14.9,2.6,33,,,2009-05-25,"2009","5","RS-07"
28,8.35,2.22,0.1,0.022,23.41,38.8,146.44,14.13,4.91,74,681,0.3,1.004,0.012,0.005,0.0054,0.05,0.05,0.961,0.185,0.0006,0.1,0.0025,95.1,0.08,930000,930000,755,23.41,1260,35,458.2,81.46,186.1,1.22,17.56,134,3.29,0.58,28,,,2009-05-25,"2009","5","RS-08"
25,8.41,2.22,0.33,0.057,19.68,5.44,10,9.34,1.2,13,686,0.1,0.216,0.0111,0.005,0.0005,0.05,0.05,0.529,0.789,0.0007,0.1,0.0025,86.5,0.02,9000,9000,699,20.067,1222,8.2,458.2,74.6,221,1.16,17.02,114.9,0.3,0.58,22,,,2009-05-25,"2009","5","RS-09"
23,8.48,8.91,2.17,1.79,9.58,10.71,30,9.89,3.2,12,672,0.1,0.01,0.0145,0.005,0.0005,0.05,0.05,0.126,0.144,0.0006,0.1,0.0025,97.3,0.02,900,900,684,13.54,1130,7.8,366.6,81.46,225.7,1.28,6.92,117.7,0.74,0.1,15,,,2009-05-25,"2009","5","RS-10"
21,8.22,,0.29,0.022,45.75,288,567.3,60.35,7.32,297,956,1,3.382,0.008,0.005,0.0005,0.111,0.069,2.2275,0.297,0.0013,0.1,0.0124,,0.233,24000000,24000000,1253,46.04,1701,170,641,87.8,277.2,1.32,39.9,201.9,24.9,9.94,19,,,2009-05-25,"2009","5","AA-01"
23,8.48,0.4,0.1,0.022,28.73,53.16,182.95,19.67,6.83,48,1126,1,0.624,0.0079,0.005,0.0005,0.05,0.05,0.331,0.613,0.0008,0.1,0.0025,177.9,0.071,4600000,4600000,1174,28.73,1891,42.1,733,121.64,308.9,1.3,24.47,349,8.86,1.19,32,,,2009-05-25,"2009","5","AA-02"
25,8.41,1.01,0.1,0.022,6.38,26.28,112.3,5.74,1.19,51,628,0.1,0.505,0.0061,0.005,0.0005,0.05,0.05,0.846,0.268,0.0005,0.1,0.0025,,0.11,930000,70000,679,6.38,1035,25,504,58.53,269.3,0.98,2.12,71.7,0.82,2.2,25,,,2009-05-25,"2009","5","RZ-01"
