"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
22.5,7.26,3.11,2.52,0.241,3.23,5.34,39.73,8.37,1.14,206,304,0.3,21.725,0.0025,0.0149,0.0005,0.05,0.05,13.409,0.219,0.0009,0.1,0.0025,11.9,0.02,460000,461000,510,5.99,288,240,91.47,9.16,98.59,0.27,1.14,67.04,0.19,1.56,26.9,,,2016-08-03,"2016","8","RS-01"
22.3,7.24,4.66,1.36,0.1,7.19,4.8,59.86,8.37,0.99,89,331,0.1,12.034,0.0029,0.0178,0.0005,0.05,0.05,5.138,0.19,0.00155,0.1,0.0025,26.3,0.02,460000,460000,420,8.65,395,120,117.39,20.51,99.18,0.28,3.05,65.54,0.19,2.2,26.7,,,2016-08-03,"2016","8","RS-02"
23.4,7.37,5.08,1.43,0.209,4.67,6.42,47.47,8.37,1.22,175,352,0.1,18.238,0.0032,0.0215,0.0005,0.05,0.05,6.65,0.163,0.00151,0.1,0.0025,34.6,0.02,150000,150000,527,6.81,433,180,115.42,25.79,100.36,0.3,2.52,69.32,0.19,2,28.2,,,2016-08-03,"2016","8","RS-03"
24.4,7.21,2.36,0.37,0.047,5.81,9.42,55.21,8.37,1.63,110,384,0.1,14.113,0.0025,0.0207,0.0005,0.05,0.05,5.717,0.263,0.00153,0.1,0.0025,43.3,0.024,4600000,4600000,494,6.23,494,160,144.97,29.53,115.09,0.45,2.82,95.08,0.19,2.6,28.8,,,2016-08-03,"2016","8","RS-04"
22.6,7.51,2.76,0.69,0.375,5.93,56.76,5.91,8.37,1.54,94,397,0.1,8.8,0.0031,0.0189,0.0005,0.05,0.05,4.302,0.168,0.0005,0.1,0.0025,43.9,0.02,240000,240000,491,6.99,521,110,157.04,30.28,115.29,0.45,3.29,112.04,0.19,2.22,20.8,,,2016-08-05,"2016","8","RS-05"
22.5,8.01,7.55,3.14,0.647,4.67,10.56,56.76,8.37,1.39,113,405,0.2,10.769,0.0028,0.023,0.0005,0.05,0.05,5.203,0.212,0.0005,0.1,0.0025,38.2,0.02,460000,93000,518,8.46,475,120,131.23,26.82,119.41,0.39,1.44,106.72,0.19,1.15,22.8,,,2016-08-05,"2016","8","RS-06"
25.4,8.05,6.78,5.85,0.815,3.41,12.09,51.08,8.37,1.45,91,387,0.2,5.566,0.0034,0.0232,0.0005,0.05,0.05,3.498,0.139,0.0005,0.1,0.0025,46.5,0.02,1100000,460000,478,10.07,527,75,143.3,31.02,116.46,0.54,1.44,99.56,0.19,0.67,33.4,,,2016-08-05,"2016","8","RS-07"
26.8,7.95,7.12,6.5,0.94,6.83,14.13,53.15,8.37,1.51,122,373,0.3,6.787,0.0033,0.0245,0.0005,0.05,0.05,3.884,0.143,0.0005,0.1,0.0025,45.8,0.02,240000,240000,495,14.27,515,85,136.33,31.82,121.18,0.62,0.66,79.24,0.19,0.85,33.2,,,2016-08-05,"2016","8","RS-08"
26.3,7.5,5.44,11.01,0.295,2.58,6.53,27.35,8.37,0.83,60,345,0.1,9.031,0.0038,0.0145,0.0005,0.2,0.05,4.013,0.09,0.00117,0.1,0.0025,27.2,0.345,46000,4300,405,13.88,355,95,105.12,17.61,84.19,0.48,0.5,60.08,0.19,1.58,34.4,,,2016-08-04,"2016","8","RS-09"
30.9,9.03,8.87,4.91,0.2,1.68,4.42,33.54,8.37,0.96,11,424,0.1,0.5291,0.0053,0.0166,0.0005,0.05,0.05,0.163,0.05,0.00137,0.1,0.0025,66.7,0.02,430,430,435,6.79,642,6.4,179.12,44.25,124.91,0.86,0.5,76.72,0.19,1.56,30.5,,,2016-08-04,"2016","8","RS-10"
20.3,7.45,0.63,0.17,0.141,9.29,46.5,84.62,8.37,1.6,133,236,0.3,5.709,0.0025,0.025,0.0005,0.05,0.05,2.758,0.176,0.00213,0.1,0.0025,27.3,0.124,46000000,46000000,369,9.6,718,85,135.35,19.44,122.95,0.46,5.33,51.06,1.4,2.4,21.3,,,2016-08-03,"2016","8","AA-01"
25.8,7.37,2.33,0.54,0.112,9.95,40.8,112.34,8.37,1.94,68,449,0.5,2.915,0.0025,0.025,0.0005,0.05,0.05,1.148,0.285,0.00203,0.1,0.0025,67.4,0.089,46000000,46000000,517,10.6,743,55,230.36,42.42,161.05,0.6,7.01,90.72,1.12,6.15,30.7,,,2016-08-03,"2016","8","AA-02"
22.3,7.24,2.78,2.39,0.265,4.67,4.71,40.25,8.37,1.09,155,287,0.1,16.3075,0.0025,0.0143,0.0005,0.05,0.05,11.801,0.183,0.00086,0.1,0.0025,10.2,0.025,1100000,1100000,442,7.32,263,230,88.53,8.41,90.74,0.4,0.9,30.51,0.19,2.08,26.8,,,2016-08-03,"2016","8","RZ-01"
19.7,7.18,1.3,0.48,0.628,2.15,17.97,26.46,8.37,0.62,26,285,0.1,1.7248,0.0025,0.005,0.0005,0.05,0.05,1.565,0.179,0.0005,0.1,0.0025,17.8,0.02,,,311,3.26,373,24,131.65,16.2,111.52,0.27,0.5,45.02,0.19,26.9,18.7,,,2016-10-11,"2016","10","RS-01"
21,6.96,1.2,0.1,0.022,2.2,24.9,58.32,8.37,0.95,14,308,0.1,2.0823,0.0031,0.005,0.0005,0.05,0.05,1.357,0.188,0.005,0.1,0.0025,30.5,0.02,,,322,2.2,407,21,132.78,19.87,103.88,0.27,0.5,91.04,0.19,7.56,21.6,,,2016-10-11,"2016","10","RS-02"
22.2,7.18,3.88,0.1,0.022,4.75,24.36,61.56,8.37,1.05,13,335,0.1,2.552,0.0033,0.0075,0.0005,0.05,0.05,1.461,0.177,0.0005,0.1,0.0025,38.7,0.02,,,348,4.75,438,22,139.26,25.27,101.14,0.27,0.5,64.8,0.19,6.3,25,,,2016-10-11,"2016","10","RS-03"
23.7,7.4,1.21,0.1,0.022,7.24,43.8,56.7,8.37,1.85,21,494,0.1,1.1484,0.0037,0.005,0.0005,0.05,0.05,0.652,0.251,0.0005,0.1,0.0025,67.8,0.025,,,515,7.24,710,11,252.91,38.26,150.72,0.55,6.28,99.56,1.42,17.02,27.8,,,2016-10-11,"2016","10","RS-04"
21.4,7.72,1.42,0.13,0.562,14.99,10.86,51.91,8.37,3.12,21,631,0.1,1.7281,0.0025,0.0068,0.0005,0.05,0.05,0.942,0.311,0.00098,0.1,0.003,89.5,0.02,460000,460000,652,15.68,1002,14,349.69,58.88,190.32,0.9,14.14,104.7,0.8,5.15,16.8,,,2016-10-18,"2016","10","RS-05"
22.2,8.22,6.89,3.79,0.975,11.25,10.41,48.89,8.37,2.62,24,595,0.2,1.9866,0.0025,0.005,0.0005,0.05,0.05,1.359,0.362,0.0008,0.1,0.0025,84,0.02,240000,240000,619,16.01,920,10,314.31,55.85,183.06,0.63,8.2,100.5,0.56,4.89,17.3,,,2016-10-18,"2016","10","RS-06"
22.4,7.82,6.55,2.84,0.544,7.46,28.2,46.87,14.82,1.68,23,394,0.4,1.0637,0.0025,0.005,0.0005,0.05,0.05,0.494,0.138,0.00131,0.1,0.0031,41.3,0.034,11000000,4600000,417,10.84,512,14,161.27,26.95,111.52,0.72,3.17,69.88,2.45,3.63,30.9,,,2016-10-18,"2016","10","RS-07"
24.8,7.79,3.95,2.01,0.769,12.73,24.66,42.34,8.37,2.34,25,553,0.1,0.9911,0.0025,0.005,0.0005,0.05,0.05,0.492,0.141,0.00185,0.1,0.0028,82.8,0.029,1100000,460000,578,15.51,899,11,256.4,61.3,153.86,0.66,8.88,97.85,1.32,3.99,30.4,,,2016-10-18,"2016","10","RS-08"
25.6,7.38,5.19,1.92,0.323,3.34,6.79,32.24,8.37,1,10,633,0.1,2.2462,0.0025,0.005,0.0005,0.05,0.05,0.883,0.057,0.0005,0.1,0.0025,31.9,0.02,230,230,643,5.58,433,16,135.97,22.71,83.1,0.46,1.53,63.02,0.28,3.85,28.2,,,2016-10-19,"2016","10","RS-09"
29.1,9.16,9.1,0.55,0.022,2.2,6.57,32.76,8.37,0.39,7,574,0.1,0.506,0.0025,0.005,0.0005,0.05,0.05,0.127,0.05,0.0076,0.1,0.0025,28.8,0.02,3,3,574,2.75,373,3.9,129.9,18.38,94.86,0.54,0.5,65.5,0.19,3.55,28.4,,,2016-10-19,"2016","10","RS-10"
24.2,7.44,0.66,0.1,0.022,11.14,49.8,128.93,8.37,2.3,64,493,0.2,1.6181,0.0025,0.005,0.0005,0.05,0.05,0.943,0.246,0.0005,0.1,0.0025,71.3,0.028,,,557,11.14,758,25,302.79,40.82,166.21,0.58,6.9,99.2,1.26,12.23,29.5,,,2016-10-11,"2016","10","AA-01"
23.5,7.37,0.98,0.1,0.045,13.23,45.3,86.94,8.37,1.99,21,568,0.3,0.6974,0.0039,0.0141,0.0005,0.05,0.05,0.359,0.287,0.0005,0.1,0.0025,86.6,0.023,,,589,13.27,924,9.5,335.7,53.62,183.06,0.65,9.44,106.85,0.82,13.59,27.9,,,2016-10-11,"2016","10","AA-02"
20.9,7.23,1.4,1.63,0.256,2.26,14.13,25,8.37,0.55,25,264,0.1,1.9558,0.0025,0.0176,0.0005,0.05,0.05,1.841,0.202,0.0005,0.1,0.0025,16.5,0.02,,,289,4.15,313,24,124.45,9.49,100.74,27,0.5,15.29,0.19,4.05,18.4,,,2016-10-11,"2016","10","RZ-01"
20.7,8.3,,0.22,0.022,1.58,5.91,29,8.37,0.69,27,624,0.1,3.7831,0.0043,0.1562,0.00072,0.05,0.05,2.092,0.065,0.0005,0.1,0.0025,119.99,0.02,15000,7500,651,1.8,908,40,330.24,57.33,211.92,0.64,0.5,96.4,0.19,,16.8,,,2017-02-14,"2017","2","RS-01"
16.5,7.46,,0.1,0.022,1.24,4.77,25.5,8.37,0.98,7,652,0.1,0.1452,0.0026,0.1322,0.0005,0.05,0.05,0.144,0.096,0.0005,0.1,0.0025,132.32,0.02,11000,11000,652,1.24,960,2.3,335.67,64.15,227.94,0.55,0.5,113.2,0.19,6.93,23.3,,,2017-02-14,"2017","2","RS-02"
19.4,7.74,,0.26,0.059,3.11,4.83,25,8.37,1.31,7,769,0.1,0.2464,0.0025,0.1211,0.0005,0.05,0.05,0.141,0.144,0.0005,0.1,0.0025,173.49,0.02,930,230,769,3.43,1122,2.5,339.09,89.71,233.99,0.55,0.5,151.75,0.19,6.21,26.3,,,2017-02-14,"2017","2","RS-03"
20.2,7.72,,0.1,0.022,18.21,12.15,44,13.82,4.44,7,825,0.1,0.1698,0.0025,0.0665,0.0005,0.05,0.05,0.133,0.135,0.0005,0.1,0.0027,182.28,0.02,460000,240000,825,18.21,1342,7.3,458.88,96.57,257.24,0.58,16.18,134.95,1.03,11.65,26.5,,,2017-02-14,"2017","2","RS-04"
18.2,7.75,1.49,0.63,1.018,17.87,18.72,47.5,8.37,4.6,7,937,0.1,0.5595,0.0025,0.1305,0.00064,0.05,0.05,0.252,0.169,0.0005,0.1,0.0025,194.83,0.02,460000,460000,937,19.52,1336,10,440.19,95.08,239.66,0.5,15.55,138.6,0.99,,19.9,,,2017-02-15,"2017","2","RS-05"
16.1,8.12,5.07,6.65,1.153,13.91,14.07,40,8.37,3.88,7,875,0.1,0.4082,0.0025,0.1354,0.0005,0.05,0.05,0.181,0.138,0.0005,0.1,0.0025,194.74,0.02,110000,46000,875,21.71,1325,5.9,410.64,99.37,252.74,0.54,10.41,139.75,0.44,4.16,18.5,,,2017-02-15,"2017","2","RS-06"
20.3,7.68,5.34,0.1,0.022,179.3,954.01,3496.71,11,47.02,1020,1694,170,67.1629,0.0191,0.8535,0.04042,0.617,0.679,21.435,0.742,0.00966,0.399,0.0694,140.8,2.333,4600000,2400000,2714,179.3,1019,1900,463.1,87.8,379.9,0.77,19.46,95.65,0.75,,24.7,,,2017-02-15,"2017","2","RS-07"
22.2,7.96,4.78,0.43,0.336,30.15,21.84,104.26,8.37,3.98,7,853,0.1,0.7525,0.0025,0.1086,0.00112,0.05,0.05,0.307,0.116,0.0005,0.1,0.0025,206.42,0.033,110000,110000,853,30.92,1388,11,417.48,112.76,210.75,0.59,24.38,140.9,0.49,4.68,28.1,,,2017-02-15,"2017","2","RS-08"
25.1,7.94,4.98,0.89,0.305,10.8,4.09,25,8.37,2.52,7,602,0.1,0.1915,0.0031,0.1156,0.00052,0.05,0.05,0.087,0.113,0.0005,0.1,0.0025,127.05,0.02,150,40,602,11.99,978,2,299.69,5.56,167.78,0.65,9.05,109.15,0.19,5.45,26.3,,,2017-02-13,"2017","2","RS-09"
24.2,7.71,4.46,0.93,0.022,1.7,1.51,25,8.37,0.43,7,309,0.1,1.172,0.0025,0.1026,0.0005,0.05,0.05,0.42,0.05,0.0005,0.1,0.0025,36.16,0.02,200,70,309,2.63,357,8.2,115.88,17.91,82.62,0.29,0.5,51.32,0.19,5.05,30.1,,,2017-02-13,"2017","2","RS-10"
18.5,7.22,,0.1,0.022,32.01,300,404.57,20.64,4.89,27,987,0.2,2.5142,0.0025,0.1026,0.00052,0.05,0.05,0.812,0.218,0.0005,0.1,0.0025,208.04,0.088,46000000,240000,1014,32.01,1445,120,434.76,112.38,248.06,0.8,25,162.45,11.06,26.96,13.8,,,2017-02-14,"2017","2","AA-01"
24.2,7.54,,0.1,0.049,28.11,42.24,216.51,8.37,3.86,7,922,0.4,0.617,0.0025,0.0436,0.0005,0.05,0.05,0.317,0.148,0.0005,0.1,0.0025,177.57,0.03,11000000,11000000,922,28.16,1515,31,501.49,104.41,266.61,0.69,27.03,148.25,1.24,10.15,27.2,,,2017-02-14,"2017","2","AA-02"
19.3,8.19,,0.17,0.029,1.81,6.27,25,8.37,0.53,10,629,0.1,2.8767,0.0033,0.1539,0.00068,0.05,0.05,1.6,0.069,0.0005,0.1,0.0033,122.36,0.02,46000,46000,639,2.01,909,33,324.82,57.75,210.75,0.63,0.5,107.55,0.19,5.25,16.5,,,2017-02-14,"2017","2","RZ-01"
24.6,8.44,,0.1,0.022,3.64,4.56,45.12,8.37,0.51,40,713,0.1,3.938,0.005,0.2373,0.0007,0.05,0.05,2.568,0.077,0.0005,0.1,0.0046,128.64,0.02,46000,24000,753,3.64,1060,50,358.05,66.14,264.31,1.96,0.5,127.55,0.19,3.1,27.9,,,2017-05-03,"2017","5","RS-01"
20.9,7.46,,0.1,0.022,0.94,4.5,43.68,8.37,0.66,7,730,0.1,0.1618,0.0044,0.2026,0.0005,0.05,0.05,0.088,0.099,0.0005,0.1,0.0025,136,0.02,11000,24000,730,0.94,1088,1.7,373.83,68.92,245.69,1.57,0.5,123.35,0.19,5.09,30.1,,,2017-05-03,"2017","5","RS-02"
21.7,7.86,,0.1,0.022,2.06,4.44,110.35,8.37,0.75,7,824,0.1,0.2464,0.0025,0.1907,0.0005,0.05,0.05,0.166,0.129,0.0005,0.1,0.0025,163.98,0.02,46000,24000,824,2.06,1199,3,381.92,80.55,249.41,2.14,0.5,158.15,0.19,5.15,26.3,,,2017-05-03,"2017","5","RS-03"
24,7.66,,0.1,0.022,21.17,9.6,92.41,8.37,3.97,7,918,0.1,0.2401,0.0126,0.1227,0.0005,0.05,0.05,0.114,0.137,0.0005,0.1,0.0025,189.99,0.02,1100000,1100000,918,21.17,1441,5.3,485.48,101.22,269.41,2.08,18.93,151.6,0.7,6.8,31.2,,,2017-05-03,"2017","5","RS-04"
22,7.85,,0.88,0.328,18.99,18.24,60.96,13.59,3.99,17,927,0.1,0.5326,0.0025,0.1258,0.0005,0.05,0.05,0.333,0.186,0.0005,0.1,0.0025,200.28,0.025,240000,460000,944,20.2,1526,9,495.49,109.5,258.33,0.88,17.87,149.89,0.6,3.67,,,,2017-05-04,"2017","5","RS-05"
20.6,8.19,,7.1,1.325,15.88,21.6,61.44,9.26,3.97,13,948,0.1,0.3488,0.0025,0.114,0.0005,0.05,0.05,0.222,0.107,0.0005,0.1,0.0027,194.67,0.024,460000,460000,961,24.3,1446,6.4,439.28,99.94,271.18,0.81,12.88,181.53,0.48,2.84,18.5,,,2017-05-04,"2017","5","RS-06"
24.1,8.04,,2.06,10.42,18.34,12.21,64.8,12.66,4.75,13,766,0.1,0.2681,0.0025,0.0994,0.0005,0.05,0.679,0.154,0.1,0.0005,0.1,0.0025,167.72,0.025,4600000,2400000,779,21.44,1312,6.3,428.5,93.07,246.08,4.19,14.29,140.2,0.36,,,,,2017-05-04,"2017","5","RS-07"
28.1,7.98,,0.11,0.098,32.28,23.22,99.84,13.43,4.56,27,902,0.1,0.5827,0.0025,0.916,0.00062,0.05,0.05,0.329,0.096,0.0005,0.108,0.0025,202.59,0.034,460000,240000,929,32.49,1590,13,450.45,130.5,23.14,1.27,31.99,163.22,0.41,4.24,,,,2017-05-04,"2017","5","RS-08"
25.8,7.73,,0.71,0.084,8.64,6.42,34.08,8.37,2.06,11,621,0.1,0.9326,0.0028,0.0978,0.00056,0.05,0.05,0.551,0.168,0.0005,0.1,0.0025,132.69,0.034,2400,40,632,9.43,1003,6.2,310.51,78.62,192.16,0.86,5,100.94,0.19,3.51,,,,2017-05-08,"2017","5","RS-09"
27.5,8.71,,0.58,0.031,1.7,2.97,25,26.67,0.59,7,297,0.1,0.2676,0.0026,0.083,0.00124,0.05,0.05,0.123,0.05,0.0005,0.1,0.0025,42.09,0.02,230,70,297,2.31,408,3.7,145.24,23.91,109.41,0.52,0.5,74.02,0.19,3.53,,,,2017-05-08,"2017","5","RS-10"
24.6,7.68,,0.1,0.022,14.76,71,165,21.17,3.17,67,834,0.1,3.2393,0.0025,0.1365,0.00055,0.05,0.05,1.281,0.247,0.0005,0.1,0.0041,158.55,0.098,15000000,4300000,901,14.76,1272,55,445.06,82.34,280.59,1.59,10.29,134.7,0.6,11.24,32.1,,,2017-05-03,"2017","5","AA-01"
27.8,7.86,,0.22,0.197,35.57,45.6,131.65,8.37,3.71,32,966,1.5,1.4003,0.0025,0.0952,0.00059,0.05,0.05,0.68,0.154,0.0005,0.1,0.0025,208.86,0.05,4600000,4600000,998,35.99,1654,32,560.56,107.19,288.82,2.23,30.93,161.4,0.4,4.5,32.3,,,2017-05-03,"2017","5","AA-02"
23.7,8.07,,0.1,0.022,3.06,5.82,50.88,8.37,0.43,21,719,0.1,2.4243,0.0051,0.2258,0.00057,0.05,0.05,1.541,0.05,0.0005,0.1,0.0025,126.03,0.025,24000,24000,740,3.06,1050,27,360.36,63.13,228.24,2.07,0.5,116.2,0.19,3.73,26.3,,,2017-05-03,"2017","5","RZ-01"
23,7.12,,0.75,0.3,5.64,9.84,78.96,8.37,1.25,143,319,0.2,15.2577,0.0025,0.1487,0.00287,0.05,0.05,14.829,0.471,0.0005,0.1,0.0066,17.1,0.037,110000,110000,462,6.69,336.6,270,90.71,14.95,95.09,0.27,1.18,24.36,0.19,6.28,23,,,2017-07-17,"2017","7","RS-01"
23,7.23,,0.1,0.022,3.53,11.88,57.53,12.58,1.3,39,313,0.1,5.0861,0.0025,0.143,0.00094,0.05,0.05,3.959,0.274,0.0005,0.1,0.0046,32.31,0.02,150000,150000,352,3.53,392.7,50,127.24,22.96,107.82,0.41,1.59,50.2,0.19,7.26,27,,,2017-07-17,"2017","7","RS-02"
23,7.37,,0.1,0.022,4.47,14.28,82.34,8.37,1.37,51,376,0.1,6.2994,0.0026,0.1324,0.001,0.05,0.05,4.694,0.403,0.0005,0.1,0.0051,45.67,0.028,110000,110000,427,4.47,454.1,60,137.86,28.96,117.97,0.44,1.59,50.9,0.19,7.24,27,,,2017-07-17,"2017","7","RS-03"
24,7.34,,0.1,0.022,9.23,19.2,93.06,12.29,2.2,84,379,0.1,4.8712,0.0025,0.104,0.00097,0.05,0.05,3.386,0.29,0.0005,0.1,0.0073,58.77,0.035,2400000,2400000,463,9.23,595.7,60,187.78,36.32,133.49,0.59,5.17,95.91,0.46,10.38,29,,,2017-07-17,"2017","7","RS-04"
22,7.58,,0.16,0.1,12.23,19.02,86.29,8.37,2.44,100,376,1.3,4.2397,0.0025,0.1392,0.00097,0.05,0.05,2.881,0.257,0.00065,0.1,0.0068,58.92,0.109,1500000,1500000,476,12.49,609.2,40,194.13,38.29,159.95,0.59,6.29,87.09,0.39,4.29,18,,,2017-07-19,"2017","7","RS-05"
23,8.07,,1.49,0.481,5.53,22.4,87.42,8.53,2.27,64,383,0.4,3.8994,0.0025,0.1094,0.00078,0.05,0.05,2.874,0.248,0.00073,0.1,0.0064,57.48,0.05,460000,460000,447,7.5,584.4,37,176.86,38.35,164.52,0.58,3.82,89.1,0.25,3.36,19,,,2017-07-19,"2017","7","RS-06"
25,8.01,,4.06,0.074,6,29.7,100.96,8.75,2.28,220,462,0.3,11.1485,0.0027,0.1315,0.00203,0.05,0.05,8.131,0.264,0.00064,0.1,0.0077,47.86,0.167,11000000,11000000,682,10.13,495.5,100,169.02,30.74,151.99,0.75,2.12,58.82,0.19,7.49,,,,2017-07-19,"2017","7","RS-07"
26,7.76,,2.94,0.328,7.06,66,94.75,10.48,2.39,196,402,1.4,9.7785,0.0031,0.1453,0.00206,0.05,0.05,6.978,0.22,0.0005,0.1,0.0099,57.97,0.086,15000000,15000000,598,10.33,553.5,120,154.04,38.66,128.71,0.62,3.7,81.89,0.26,3.67,24,,,2017-07-19,"2017","7","RS-08"
27,7.84,,3.35,0.194,4.7,7.98,45.12,8.37,1.17,54,346,0.1,8.3132,0.0025,0.1157,0.00105,0.05,0.05,4.248,0.092,0.0005,0.1,0.0025,36.9,0.034,24000,24000,400,8.24,436,70,126.44,23.38,91.11,0.61,0.5,50.18,0.19,8.12,33,,,2017-07-26,"2017","7","RS-09"
30,9.1,,3.01,1.46,3.94,5.7,47.04,8.37,1.41,7,551,0.1,0.209,0.0047,0.1127,0.0005,0.05,0.05,0.078,0.05,0.0005,0.1,0.0025,99.5,0.02,930,150,558,8.41,861,1.7,242.37,63.45,166.51,0.97,0.5,81.86,0.19,2.85,30,,,2017-07-26,"2017","7","RS-10"
19,7.64,,0.94,0.083,6.41,24.66,94.75,,1.73,388,324,0.8,14.6405,0.0025,0.1462,0.00251,0.05,0.05,9.51,0.319,0.0005,0.1,0.0246,19.92,0.156,4600000,4600000,712,7.43,294.2,220,107.88,11.34,135.48,0.41,2.82,41.91,0.7,5.62,19,,,2017-07-17,"2017","7","AA-01"
25,7.46,,0.13,0.169,9.41,25.2,95.88,10.25,2.52,80,413,0.3,2.0966,0.0025,0.1003,0.00054,0.05,0.05,1.33,0.263,0.0005,0.1,0.0047,76.7,0.065,11000000,11000000,493,9.71,716.7,39,235.72,43.91,169.69,0.69,6.53,83.86,1.8,9.97,31,,,2017-07-17,"2017","7","AA-02"
23,7.16,,0.75,0.305,4.29,9.66,81.78,8.37,1.14,157,292,0.2,14.9753,0.0025,0.1249,0.00296,0.05,0.05,14.827,0.47,0.0005,0.1,0.0055,14.38,0.044,460000,460000,449,5.34,258.7,240,92.9,11.01,82.36,0.27,1.12,25.89,0.19,4,22,,,2017-07-17,"2017","7","RZ-01"
23,7.52,,1.37,0.501,2.64,19.5,26.2,8.37,1.05,47,273,0.1,4.9524,0.0025,0.0701,0.00133,0.05,0.05,3.341,0.181,0.0005,0.1,0.0033,19.15,0.026,4600000,4600000,320,4.51,333,60,113.81,15.61,104.61,0.33,1.15,36.33,0.19,,22,,,2017-08-29,"2017","8","RS-01"
23,7.15,,0.1,0.027,3.84,28.8,41.4,12.94,1.46,37,347,0.1,4.0978,0.0025,0.1088,0.00099,0.05,0.05,2.677,0.315,0.0005,0.1,0.0043,35.24,0.026,1100000,460000,384,3.87,419,45,143.74,22.66,105.81,0.42,1.38,64.03,0.19,,24,,,2017-08-29,"2017","8","RS-02"
24,7.21,,0.1,0.022,3.56,28.2,35.63,8.37,1.24,15,391,0.1,1.407,0.0025,0.0964,0.00056,0.05,0.05,0.902,0.165,0.0005,0.1,0.0031,43.37,0.02,240000,93000,406,3.56,451,27,141.87,27.77,111.62,0.47,1.89,66,0.19,,28,,,2017-08-29,"2017","8","RS-03"
24,7.34,,0.1,0.022,7.46,42,50.83,10.36,2.78,52,388,0.1,3.9628,0.0025,0.0702,0.00072,0.05,0.05,1.991,0.198,0.0005,0.1,0.0025,49.23,0.031,4600000,2400000,440,7.46,547,45,178.19,31.73,123.65,0.56,4.65,81.83,0.92,,29,,,2017-08-29,"2017","8","RS-04"
22,7.56,,0.63,0.154,13.89,23.22,142.1,8.37,2.62,220,357,3.5,15.6345,0.0032,0.2111,0.00268,0.05,0.05,8.333,0.432,0.00188,0.1,0.0093,54.22,0.156,430000,430000,577,14.67,565,130,173.07,36.93,120.84,0.54,7.46,88.8,0.23,,21,,,2017-08-30,"2017","8","RS-05"
22,7.91,,2.53,0.348,9.36,46.68,95.37,9.06,2.14,186,359,2,8.8558,0.0025,0.1699,0.00151,0.05,0.05,5.39,0.557,0.0005,0.1,0.007,49.45,0.166,4600000,2400000,545,12.24,518,110,155.45,31.68,122.44,0.52,5.68,50.45,0.19,,21,,,2017-08-30,"2017","8","RS-06"
23,7.86,,1.97,0.588,9.36,23.58,66.02,10.55,1.45,150,257,1,5.9713,0.0025,0.1027,0.00162,0.05,0.05,3.598,0.184,0.0005,0.1,0.0086,32.68,0.072,2400000,430000,407,11.92,366,80,111.05,21.09,116.03,0.55,1.95,46.17,0.19,,25,,,2017-08-30,"2017","8","RS-07"
25,7.79,,3.68,0.798,6.31,29.4,66.55,10.72,1.83,195,384,1.2,9.0492,0.0027,0.118,0.0023,0.05,0.05,5.252,0.237,0.0005,0.1,0.0079,45,0.073,11000000,2100000,579,10.79,466,60,137.53,28.83,96.39,0.68,2.47,55.36,0.19,,25,,,2017-08-30,"2017","8","RS-08"
26,7.69,,1.75,0.366,4.88,3.7,28.3,8.5,1.09,23,316,0.1,3.0932,0.003,0.1112,0.00067,0.05,0.05,1.455,0.133,0.0005,0.1,0.0025,44.73,0.085,110000,110000,339,7,445,32,131.43,25.42,99.4,0.72,2.58,51.98,0.19,,28,,,2017-08-31,"2017","8","RS-09"
29,8.81,,2.09,0.163,1.26,3.74,27.77,17.42,1.05,7,380,0.1,0.342,0.0054,0.092,0.00051,0.05,0.05,0.134,0.05,0.0005,0.1,0.0025,71.18,0.02,93000,93000,380,3.51,603,4,176.52,40.38,125.65,0.95,0.5,69.5,0.19,,29,,,2017-08-31,"2017","8","RS-10"
22,7.34,,0.1,0.022,7.69,36.6,67.07,10.76,1.76,175,241,0.4,7.5287,0.0025,0.0669,0.00151,0.05,0.05,3.454,0.24,0.0005,0.1,0.0094,28.19,0.063,4600000,2400000,416,7.69,391,80,134.88,14.92,136.47,0.53,3.79,39.9,0.91,,19,,,2017-08-29,"2017","8","AA-01"
24,7.41,,0.1,0.038,9.81,18.96,76.5,8.37,2.7,40,481,0.3,1.936,0.0025,0.0966,0.00106,0.05,0.05,0.881,0.225,0.0005,0.1,0.0025,60.88,0.045,4600000,4600000,521,9.84,661,35,226.43,39.88,147.09,0.65,7.69,73.06,1.33,,30,,,2017-08-29,"2017","8","AA-02"
22,7.43,,2.19,0.213,3.04,18.6,33.54,9.81,0.86,75,230,0.1,6.9455,0.0025,0.074,0.00137,0.05,0.05,4.973,0.139,0.0005,0.1,0.004,17.54,0.053,1500000,230000,305,5.44,300,75,107.01,12.62,111.42,0.31,0.57,33.25,0.19,,21,,,2017-08-29,"2017","8","RZ-01"
